"","CPSID","county","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FSSTMPVALC","female","hispanic","black","kids","elderly","education","married","FSSTMPVALC_bin","FSSTMPVALC_bin_char"
"68","20210902102700","0",3950.9177,3,93.3333333333333,0,0,0,NA,NA,0,280,NA,1,3,0,1,0,1,2,0,"No"
"69","20210902102900","17179",5130.5132,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,4,0,2,2,0,"No"
"70","20210902103100","0",4141.7719,2,105,0,0,1,0,0,0,210,NA,1,0,0,0,2,1,2,0,"No"
"71","20210902103900","0",4213.6827,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,0,1,0,0,2,0,"No"
"72","20210902104100","0",4141.7719,4,57.5,0,0,0,NA,NA,0,230,NA,2,0,0,0,2,4,2,0,"No"
"73","20210902105100","0",3948.9319,1,40,0,0,0,1,0,0,40,NA,0,0,0,0,1,1,0,0,"No"
"74","20210902106200","0",3950.9177,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,2,0,1,2,0,"No"
"75","20210902109300","17111",5223.0423,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,1,0,0,"No"
"76","20210902111600","17097",3948.9319,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,1,2,0,"No"
"77","20210902113800","0",4080.6917,2,50,0,0,0,0,0,0,100,NA,1,0,0,0,2,1,2,0,"No"
"78","20210902114000","17097",4629.3054,2,150,0,0,0,NA,NA,0,300,NA,1,0,0,0,1,2,2,0,"No"
"79","20210902114700","0",4118.981,3,66.6666666666667,0,0,0,NA,NA,0,200,NA,1,0,0,1,0,2,2,0,"No"
"80","20210902117400","0",5212.8277,5,36,0,0,0,NA,NA,0,180,NA,2,0,0,3,0,2,2,0,"No"
"81","20210902118400","17179",4534.5379,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,2,2,0,"No"
